Op 298 / 6340, max bond = 16, latency =    0.01047
Op 299 / 6340, max bond = 16, latency =    0.01046
Op 300 / 6340, max bond = 16, latency =    0.01048
Op 301 / 6340, max bond = 16, latency =    0.01062
Op 302 / 6340, max bond = 16, latency =    0.01067
Op 303 / 6340, max bond = 16, latency =    0.01078
Op 304 / 6340, max bond = 16, latency =    0.01081
Op 305 / 6340, max bond = 16, latency =    0.01088
Op 306 / 6340, max bond = 16, latency =    0.01090
Op 307 / 6340, max bond = 16, latency =    0.01084
Op 308 / 6340, max bond = 16, latency =    0.01102
Op 309 / 6340, max bond = 16, latency =    0.01109
Op 310 / 6340, max bond = 16, latency =    0.01105
Op 311 / 6340, max bond = 16, latency =    0.01108
Op 312 / 6340, max bond = 16, latency =    0.01123
Op 313 / 6340, max bond = 16, latency =    0.01123
Op 314 / 6340, max bond = 16, latency =    0.01163
Op 315 / 6340, max bond = 16, latency =    0.01115
Op 316 / 6340, max bond = 16, latency =    0.01112
Op 317 / 6340, max bond = 16, latency =    0.01134
Op 318 / 6340, max bond = 16, latency =    0.01137
Op 319 / 6340, max bond = 16, latency =    0.01138
Op 320 / 6340, max bond = 16, latency =    0.01136
Op 321 / 6340, max bond = 16, latency =    0.01139
Op 322 / 6340, max bond = 16, latency =    0.01134
Op 323 / 6340, max bond = 16, latency =    0.01147
Op 324 / 6340, max bond = 16, latency =    0.01173
Op 325 / 6340, max bond = 32, latency =    0.01215
Op 326 / 6340, max bond = 32, latency =    0.12367
Op 327 / 6340, max bond = 32, latency =    0.14207
Op 328 / 6340, max bond = 32, latency =    0.16497
Op 329 / 6340, max bond = 32, latency =    0.18893
Op 330 / 6340, max bond = 32, latency =    0.21127
Op 331 / 6340, max bond = 32, latency =    0.23276
Op 332 / 6340, max bond = 32, latency =    0.25457
Op 333 / 6340, max bond = 32, latency =    0.27664
Op 334 / 6340, max bond = 32, latency =    0.30362
Op 335 / 6340, max bond = 32, latency =    0.32641
Op 336 / 6340, max bond = 32, latency =    0.34188
Op 337 / 6340, max bond = 32, latency =    0.36403
Op 338 / 6340, max bond = 32, latency =    0.38687
Op 339 / 6340, max bond = 32, latency =    0.40784
Op 340 / 6340, max bond = 32, latency =    0.42786
Op 341 / 6340, max bond = 32, latency =    0.45141
Op 342 / 6340, max bond = 32, latency =    0.47317
Op 343 / 6340, max bond = 32, latency =    0.48771
Op 344 / 6340, max bond = 32, latency =    0.49790
Op 345 / 6340, max bond = 32, latency =    0.51313
Op 346 / 6340, max bond = 32, latency =    0.53643
Op 347 / 6340, max bond = 32, latency =    0.55847
Op 348 / 6340, max bond = 32, latency =    0.58017
Op 349 / 6340, max bond = 32, latency =    0.57989
Op 350 / 6340, max bond = 32, latency =    0.57367
Op 351 / 6340, max bond = 32, latency =    0.57978
Op 352 / 6340, max bond = 32, latency =    0.57958
Op 353 / 6340, max bond = 32, latency =    0.58064
Op 354 / 6340, max bond = 32, latency =    0.60943
Op 355 / 6340, max bond = 32, latency =    0.57648
Op 356 / 6340, max bond = 32, latency =    0.58075
Op 357 / 6340, max bond = 32, latency =    0.58145
Op 358 / 6340, max bond = 32, latency =    0.58202
Op 359 / 6340, max bond = 32, latency =    0.57677
Op 360 / 6340, max bond = 32, latency =    0.58207
Op 361 / 6340, max bond = 32, latency =    0.60931
Op 362 / 6340, max bond = 64, latency =    0.57804
Op 363 / 6340, max bond = 64, latency =    0.71614
Op 364 / 6340, max bond = 64, latency =    0.76341
Op 365 / 6340, max bond = 64, latency =    0.78056
Op 366 / 6340, max bond = 64, latency =    0.80154
Op 367 / 6340, max bond = 64, latency =    0.82700
Op 368 / 6340, max bond = 64, latency =    0.85734
Op 369 / 6340, max bond = 64, latency =    0.87543
Op 370 / 6340, max bond = 64, latency =    0.90405
Op 371 / 6340, max bond = 64, latency =    0.91908
Op 372 / 6340, max bond = 64, latency =    0.94539
Op 373 / 6340, max bond = 64, latency =    0.96904
Op 374 / 6340, max bond = 64, latency =    0.99253
Op 375 / 6340, max bond = 64, latency =    1.01979
Op 376 / 6340, max bond = 64, latency =    1.04287
Op 377 / 6340, max bond = 64, latency =    1.06863
Op 378 / 6340, max bond = 64, latency =    1.07899
Op 379 / 6340, max bond = 64, latency =    1.11743
Op 380 / 6340, max bond = 64, latency =    1.13181
Op 381 / 6340, max bond = 64, latency =    1.14799
Op 382 / 6340, max bond = 64, latency =    1.18252
Op 383 / 6340, max bond = 64, latency =    1.21000
Op 384 / 6340, max bond = 64, latency =    1.17642
Op 385 / 6340, max bond = 64, latency =    1.18254
Op 386 / 6340, max bond = 64, latency =    1.16991
Op 387 / 6340, max bond = 64, latency =    1.18138
Op 388 / 6340, max bond = 64, latency =    1.17272
Op 389 / 6340, max bond = 64, latency =    1.18581
Op 390 / 6340, max bond = 64, latency =    1.17444
Op 391 / 6340, max bond = 64, latency =    1.18486
Op 392 / 6340, max bond = 64, latency =    1.17438
Op 393 / 6340, max bond = 64, latency =    1.18046
Op 394 / 6340, max bond = 64, latency =    1.17006
Op 395 / 6340, max bond = 64, latency =    1.18578
Op 396 / 6340, max bond = 64, latency =    1.18355
Op 397 / 6340, max bond = 64, latency =    1.18242
Op 398 / 6340, max bond = 64, latency =    1.16780
Op 399 / 6340, max bond = 64, latency =    1.20406
Op 400 / 6340, max bond = 64, latency =    1.25360
Op 401 / 6340, max bond = 128, latency =    1.25363
Op 402 / 6340, max bond = 128, latency =    1.28611
Op 403 / 6340, max bond = 128, latency =    1.28826
Op 404 / 6340, max bond = 128, latency =    1.30331
Op 405 / 6340, max bond = 128, latency =    1.30816
Op 406 / 6340, max bond = 128, latency =    1.32914
Op 407 / 6340, max bond = 128, latency =    1.33265
Op 408 / 6340, max bond = 128, latency =    1.34514
Op 409 / 6340, max bond = 128, latency =    1.35576
Op 410 / 6340, max bond = 128, latency =    1.36024
Op 411 / 6340, max bond = 128, latency =    1.36441
Op 412 / 6340, max bond = 128, latency =    1.38065
Op 413 / 6340, max bond = 128, latency =    1.38697
Op 414 / 6340, max bond = 128, latency =    1.40140
Op 415 / 6340, max bond = 128, latency =    1.41707
Op 416 / 6340, max bond = 128, latency =    1.41732
Op 417 / 6340, max bond = 128, latency =    1.43105
Op 418 / 6340, max bond = 128, latency =    1.44011
Op 419 / 6340, max bond = 128, latency =    1.44482
Op 420 / 6340, max bond = 128, latency =    1.46823
Op 421 / 6340, max bond = 128, latency =    1.42916
Op 422 / 6340, max bond = 128, latency =    1.55337
Op 423 / 6340, max bond = 128, latency =    1.41638
Op 424 / 6340, max bond = 128, latency =    1.41059
Op 425 / 6340, max bond = 128, latency =    1.41515
Op 426 / 6340, max bond = 128, latency =    1.43724
Op 427 / 6340, max bond = 128, latency =    1.42045
Op 428 / 6340, max bond = 128, latency =    1.41915
Op 429 / 6340, max bond = 128, latency =    1.42162
Op 430 / 6340, max bond = 128, latency =    1.42649
Op 431 / 6340, max bond = 128, latency =    1.41400
Op 432 / 6340, max bond = 128, latency =    1.41315
Op 433 / 6340, max bond = 128, latency =    1.41916
Op 434 / 6340, max bond = 128, latency =    1.40285
Op 435 / 6340, max bond = 128, latency =    1.42341
Op 436 / 6340, max bond = 128, latency =    1.41044
Op 437 / 6340, max bond = 128, latency =    1.45415
Op 438 / 6340, max bond = 128, latency =    1.48805
Op 439 / 6340, max bond = 128, latency =    1.49359
Op 440 / 6340, max bond = 256, latency =    1.54412
Op 441 / 6340, max bond = 256, latency =    1.61656
Op 442 / 6340, max bond = 256, latency =    1.68456
Op 443 / 6340, max bond = 256, latency =    1.74404
Op 444 / 6340, max bond = 256, latency =    1.78682
Op 445 / 6340, max bond = 256, latency =    1.86568
Op 446 / 6340, max bond = 256, latency =    1.90796
Op 447 / 6340, max bond = 256, latency =    1.98732
Op 448 / 6340, max bond = 256, latency =    2.03474
Op 449 / 6340, max bond = 256, latency =    2.09486
Op 450 / 6340, max bond = 256, latency =    2.15863
Op 451 / 6340, max bond = 256, latency =    2.22734
Op 452 / 6340, max bond = 256, latency =    2.29061
Op 453 / 6340, max bond = 256, latency =    2.32859
Op 454 / 6340, max bond = 256, latency =    2.36402
Op 455 / 6340, max bond = 256, latency =    2.40407
Op 456 / 6340, max bond = 256, latency =    2.46326
Op 457 / 6340, max bond = 256, latency =    2.51996
Op 458 / 6340, max bond = 256, latency =    2.57798
Op 459 / 6340, max bond = 256, latency =    2.64007
Op 460 / 6340, max bond = 256, latency =    2.56609
Op 461 / 6340, max bond = 256, latency =    2.61538
Op 462 / 6340, max bond = 256, latency =    2.60001
Op 463 / 6340, max bond = 256, latency =    2.60917
Op 464 / 6340, max bond = 256, latency =    2.59954
Op 465 / 6340, max bond = 256, latency =    2.61943
Op 466 / 6340, max bond = 256, latency =    2.60843
Op 467 / 6340, max bond = 256, latency =    2.61970
Op 468 / 6340, max bond = 256, latency =    2.62687
Op 469 / 6340, max bond = 256, latency =    2.62734
Op 470 / 6340, max bond = 256, latency =    2.66789
Op 471 / 6340, max bond = 256, latency =    2.64209
Op 472 / 6340, max bond = 256, latency =    2.66075
Op 473 / 6340, max bond = 256, latency =    2.71235
Op 474 / 6340, max bond = 256, latency =    2.70801
Op 475 / 6340, max bond = 256, latency =    2.81985
Op 476 / 6340, max bond = 512, latency =    3.00751
Op 477 / 6340, max bond = 512, latency =    3.36873
Op 478 / 6340, max bond = 512, latency =    3.71704
Op 479 / 6340, max bond = 512, latency =    4.05033
Op 480 / 6340, max bond = 512, latency =    4.37450
Op 481 / 6340, max bond = 512, latency =    4.74319
Op 482 / 6340, max bond = 512, latency =    4.99836
Op 483 / 6340, max bond = 512, latency =    5.34479
Op 484 / 6340, max bond = 512, latency =    5.64842
Op 485 / 6340, max bond = 512, latency =    6.00882
Op 486 / 6340, max bond = 512, latency =    6.38037
Op 487 / 6340, max bond = 512, latency =    6.68011
Op 488 / 6340, max bond = 512, latency =    6.97268
Op 489 / 6340, max bond = 512, latency =    7.32686
Op 490 / 6340, max bond = 512, latency =    7.62901
Op 491 / 6340, max bond = 512, latency =    7.93395
Op 492 / 6340, max bond = 512, latency =    8.22269
Op 493 / 6340, max bond = 512, latency =    8.57721
Op 494 / 6340, max bond = 512, latency =    8.93042
Op 495 / 6340, max bond = 512, latency =    8.94742
Op 496 / 6340, max bond = 512, latency =    8.75863
Op 497 / 6340, max bond = 512, latency =    8.68552
Op 498 / 6340, max bond = 512, latency =    8.68727
Op 499 / 6340, max bond = 512, latency =    8.67365
Op 500 / 6340, max bond = 512, latency =    8.77371
Op 501 / 6340, max bond = 512, latency =    8.73341
Op 502 / 6340, max bond = 512, latency =    8.71823
Op 503 / 6340, max bond = 512, latency =    9.63426
Op 504 / 6340, max bond = 512, latency =    8.84140
Op 505 / 6340, max bond = 512, latency =    8.93041
Op 506 / 6340, max bond = 512, latency =    8.76679
Op 507 / 6340, max bond = 512, latency =    8.78281
Op 508 / 6340, max bond = 512, latency =    8.84888
Op 509 / 6340, max bond = 512, latency =    8.81120
Op 510 / 6340, max bond = 512, latency =    8.85749
Op 511 / 6340, max bond = 512, latency =    8.79652
Op 512 / 6340, max bond = 512, latency =    8.85162
Op 513 / 6340, max bond = 512, latency =    8.86527
Op 514 / 6340, max bond = 512, latency =    9.55054
Op 515 / 6340, max bond = 512, latency =    9.61647
Op 516 / 6340, max bond = 512, latency =    9.63058
Op 517 / 6340, max bond = 512, latency =    9.51580
Op 518 / 6340, max bond = 512, latency =    9.59832
Op 519 / 6340, max bond = 512, latency =    9.60348
Op 520 / 6340, max bond = 512, latency =    9.31365
Op 521 / 6340, max bond = 512, latency =    9.60030
Op 522 / 6340, max bond = 512, latency =    9.48659
Op 523 / 6340, max bond = 512, latency =    9.38888
Op 524 / 6340, max bond = 512, latency =    9.52266
Op 525 / 6340, max bond = 512, latency =    9.45909
Op 526 / 6340, max bond = 512, latency =    9.51612
Op 527 / 6340, max bond = 512, latency =    9.52662
Op 528 / 6340, max bond = 512, latency =   10.50966
Op 529 / 6340, max bond = 512, latency =    9.51654
Op 530 / 6340, max bond = 512, latency =    9.48275
Op 531 / 6340, max bond = 512, latency =    8.66070
Op 532 / 6340, max bond = 512, latency =    8.61767
Op 533 / 6340, max bond = 512, latency =    8.71832
Op 534 / 6340, max bond = 512, latency =    8.69112
Op 535 / 6340, max bond = 512, latency =    8.66242
Op 536 / 6340, max bond = 512, latency =    8.56219
Op 537 / 6340, max bond = 512, latency =    8.47133
Op 538 / 6340, max bond = 512, latency =    9.09331
