132: Gate(gate_type='phase', qubits=(7,), theta=np.float64(1.5707963267948704), beta=0.0)
133: Gate(gate_type='xx_plus_yy', qubits=(6, 7), theta=np.float64(0.050663565304333455), beta=0.0)
134: Gate(gate_type='phase', qubits=(7,), theta=np.float64(-1.5707963267948704), beta=0.0)
135: Gate(gate_type='phase', qubits=(15,), theta=np.float64(1.5707963267948704), beta=0.0)
136: Gate(gate_type='xx_plus_yy', qubits=(14, 15), theta=np.float64(0.050663565304333455), beta=0.0)
137: Gate(gate_type='phase', qubits=(15,), theta=np.float64(-1.5707963267948704), beta=0.0)
138: Gate(gate_type='phase', qubits=(6,), theta=np.float64(1.5707963267948966), beta=0.0)
139: Gate(gate_type='xx_plus_yy', qubits=(5, 6), theta=np.float64(1.5707963267948966), beta=0.0)
140: Gate(gate_type='phase', qubits=(6,), theta=np.float64(-1.5707963267948966), beta=0.0)
141: Gate(gate_type='phase', qubits=(14,), theta=np.float64(1.5707963267948966), beta=0.0)
142: Gate(gate_type='xx_plus_yy', qubits=(13, 14), theta=np.float64(1.5707963267948966), beta=0.0)
143: Gate(gate_type='phase', qubits=(14,), theta=np.float64(-1.5707963267948966), beta=0.0)
144: Gate(gate_type='phase', qubits=(0,), theta=np.float64(-3.141592653589788), beta=0.0)
145: Gate(gate_type='phase', qubits=(8,), theta=np.float64(-3.141592653589788), beta=0.0)
146: Gate(gate_type='phase', qubits=(1,), theta=np.float64(-3.141592653589793), beta=0.0)
147: Gate(gate_type='phase', qubits=(9,), theta=np.float64(-3.141592653589793), beta=0.0)
148: Gate(gate_type='phase', qubits=(2,), theta=np.float64(3.1415926535897882), beta=0.0)
149: Gate(gate_type='phase', qubits=(10,), theta=np.float64(3.1415926535897882), beta=0.0)
150: Gate(gate_type='phase', qubits=(3,), theta=np.float64(-3.141592653589793), beta=0.0)
151: Gate(gate_type='phase', qubits=(11,), theta=np.float64(-3.141592653589793), beta=0.0)
152: Gate(gate_type='phase', qubits=(4,), theta=np.float64(-0.7853981633974483), beta=0.0)
153: Gate(gate_type='phase', qubits=(12,), theta=np.float64(-0.7853981633974483), beta=0.0)
154: Gate(gate_type='phase', qubits=(5,), theta=np.float64(2.356194490192358), beta=0.0)
155: Gate(gate_type='phase', qubits=(13,), theta=np.float64(2.356194490192358), beta=0.0)
156: Gate(gate_type='phase', qubits=(6,), theta=np.float64(-0.7853981633974483), beta=0.0)
157: Gate(gate_type='phase', qubits=(14,), theta=np.float64(-0.7853981633974483), beta=0.0)
158: Gate(gate_type='phase', qubits=(7,), theta=np.float64(2.3561944901923315), beta=0.0)
159: Gate(gate_type='phase', qubits=(15,), theta=np.float64(2.3561944901923315), beta=0.0)
160: Gate(gate_type='cphase', qubits=(0, 1), theta=0.013841144880164328, beta=0.0)
161: Gate(gate_type='cphase', qubits=(1, 2), theta=0.0017572077159126213, beta=0.0)
162: Gate(gate_type='cphase', qubits=(2, 3), theta=0.000897464129871078, beta=0.0)
163: Gate(gate_type='cphase', qubits=(3, 4), theta=-0.0007311893589415508, beta=0.0)
164: Gate(gate_type='cphase', qubits=(4, 5), theta=0.0008974641298710773, beta=0.0)
165: Gate(gate_type='cphase', qubits=(5, 6), theta=0.0017572077159126204, beta=0.0)
166: Gate(gate_type='cphase', qubits=(6, 7), theta=0.01384114488016434, beta=0.0)
167: Gate(gate_type='cphase', qubits=(8, 9), theta=0.013841144880164328, beta=0.0)
168: Gate(gate_type='cphase', qubits=(9, 10), theta=0.0017572077159126213, beta=0.0)
169: Gate(gate_type='cphase', qubits=(10, 11), theta=0.000897464129871078, beta=0.0)
170: Gate(gate_type='cphase', qubits=(11, 12), theta=-0.0007311893589415508, beta=0.0)
171: Gate(gate_type='cphase', qubits=(12, 13), theta=0.0008974641298710773, beta=0.0)
172: Gate(gate_type='cphase', qubits=(13, 14), theta=0.0017572077159126204, beta=0.0)
173: Gate(gate_type='cphase', qubits=(14, 15), theta=0.01384114488016434, beta=0.0)
174: Gate(gate_type='cphase', qubits=(0, 8), theta=0.06834427843881549, beta=0.0)
175: Gate(gate_type='cphase', qubits=(1, 9), theta=0.002803121138592556, beta=0.0)
176: Gate(gate_type='cphase', qubits=(2, 10), theta=0.001101550309171876, beta=0.0)
177: Gate(gate_type='cphase', qubits=(3, 11), theta=0.0007311893589415508, beta=0.0)
178: Gate(gate_type='cphase', qubits=(4, 12), theta=0.0007311893589415508, beta=0.0)
179: Gate(gate_type='cphase', qubits=(5, 13), theta=0.0011015503091718743, beta=0.0)
180: Gate(gate_type='cphase', qubits=(6, 14), theta=0.002803121138592558, beta=0.0)
181: Gate(gate_type='cphase', qubits=(7, 15), theta=0.06834427843881559, beta=0.0)
182: Gate(gate_type='phase', qubits=(1,), theta=np.float64(-1.5707963267948966), beta=0.0)
183: Gate(gate_type='xx_plus_yy', qubits=(2, 1), theta=np.float64(1.5707963267948966), beta=0.0)
184: Gate(gate_type='phase', qubits=(1,), theta=np.float64(1.5707963267948966), beta=0.0)
185: Gate(gate_type='phase', qubits=(9,), theta=np.float64(-1.5707963267948966), beta=0.0)
186: Gate(gate_type='xx_plus_yy', qubits=(10, 9), theta=np.float64(1.5707963267948966), beta=0.0)
187: Gate(gate_type='phase', qubits=(9,), theta=np.float64(1.5707963267948966), beta=0.0)
188: Gate(gate_type='phase', qubits=(0,), theta=np.float64(-1.5707963267948963), beta=0.0)
189: Gate(gate_type='xx_plus_yy', qubits=(1, 0), theta=np.float64(0.04936398272593052), beta=0.0)
190: Gate(gate_type='phase', qubits=(0,), theta=np.float64(1.5707963267948963), beta=0.0)
191: Gate(gate_type='phase', qubits=(8,), theta=np.float64(-1.5707963267948963), beta=0.0)
192: Gate(gate_type='xx_plus_yy', qubits=(9, 8), theta=np.float64(0.04936398272593052), beta=0.0)
193: Gate(gate_type='phase', qubits=(8,), theta=np.float64(1.5707963267948963), beta=0.0)
194: Gate(gate_type='phase', qubits=(3,), theta=np.float64(-1.5707963267948966), beta=0.0)
195: Gate(gate_type='xx_plus_yy', qubits=(4, 3), theta=np.float64(0.7853981633974484), beta=0.0)
196: Gate(gate_type='phase', qubits=(3,), theta=np.float64(1.5707963267948966), beta=0.0)
197: Gate(gate_type='phase', qubits=(11,), theta=np.float64(-1.5707963267948966), beta=0.0)
198: Gate(gate_type='xx_plus_yy', qubits=(12, 11), theta=np.float64(0.7853981633974484), beta=0.0)
199: Gate(gate_type='phase', qubits=(11,), theta=np.float64(1.5707963267948966), beta=0.0)
200: Gate(gate_type='phase', qubits=(2,), theta=np.float64(-1.5707963267948966), beta=0.0)
201: Gate(gate_type='xx_plus_yy', qubits=(3, 2), theta=np.float64(1.5707963267948966), beta=0.0)
202: Gate(gate_type='phase', qubits=(2,), theta=np.float64(1.5707963267948966), beta=0.0)
203: Gate(gate_type='phase', qubits=(10,), theta=np.float64(-1.5707963267948966), beta=0.0)
204: Gate(gate_type='xx_plus_yy', qubits=(11, 10), theta=np.float64(1.5707963267948966), beta=0.0)
205: Gate(gate_type='phase', qubits=(10,), theta=np.float64(1.5707963267948966), beta=0.0)
206: Gate(gate_type='phase', qubits=(1,), theta=np.float64(-1.5707963267948966), beta=0.0)
207: Gate(gate_type='xx_plus_yy', qubits=(2, 1), theta=np.float64(1.5707963267948966), beta=0.0)
208: Gate(gate_type='phase', qubits=(1,), theta=np.float64(1.5707963267948966), beta=0.0)
209: Gate(gate_type='phase', qubits=(9,), theta=np.float64(-1.5707963267948966), beta=0.0)
210: Gate(gate_type='xx_plus_yy', qubits=(10, 9), theta=np.float64(1.5707963267948966), beta=0.0)
211: Gate(gate_type='phase', qubits=(9,), theta=np.float64(1.5707963267948966), beta=0.0)
212: Gate(gate_type='phase', qubits=(0,), theta=np.float64(-1.5707963267948966), beta=0.0)
213: Gate(gate_type='xx_plus_yy', qubits=(1, 0), theta=np.float64(1.5707963267948966), beta=0.0)
214: Gate(gate_type='phase', qubits=(0,), theta=np.float64(1.5707963267948966), beta=0.0)
215: Gate(gate_type='phase', qubits=(8,), theta=np.float64(-1.5707963267948966), beta=0.0)
216: Gate(gate_type='xx_plus_yy', qubits=(9, 8), theta=np.float64(1.5707963267948966), beta=0.0)
217: Gate(gate_type='phase', qubits=(8,), theta=np.float64(1.5707963267948966), beta=0.0)
218: Gate(gate_type='phase', qubits=(5,), theta=np.float64(-1.5707963267948966), beta=0.0)
219: Gate(gate_type='xx_plus_yy', qubits=(6, 5), theta=np.float64(1.5707963267948966), beta=0.0)
220: Gate(gate_type='phase', qubits=(5,), theta=np.float64(1.5707963267948966), beta=0.0)
221: Gate(gate_type='phase', qubits=(13,), theta=np.float64(-1.5707963267948966), beta=0.0)
222: Gate(gate_type='xx_plus_yy', qubits=(14, 13), theta=np.float64(1.5707963267948966), beta=0.0)
223: Gate(gate_type='phase', qubits=(13,), theta=np.float64(1.5707963267948966), beta=0.0)
224: Gate(gate_type='phase', qubits=(4,), theta=np.float64(-1.5707963267948966), beta=0.0)
225: Gate(gate_type='xx_plus_yy', qubits=(5, 4), theta=np.float64(1.5707963267948966), beta=0.0)
226: Gate(gate_type='phase', qubits=(4,), theta=np.float64(1.5707963267948966), beta=0.0)
227: Gate(gate_type='phase', qubits=(12,), theta=np.float64(-1.5707963267948966), beta=0.0)
228: Gate(gate_type='xx_plus_yy', qubits=(13, 12), theta=np.float64(1.5707963267948966), beta=0.0)
229: Gate(gate_type='phase', qubits=(12,), theta=np.float64(1.5707963267948966), beta=0.0)
230: Gate(gate_type='phase', qubits=(3,), theta=np.float64(1.5707963267948966), beta=0.0)
231: Gate(gate_type='xx_plus_yy', qubits=(4, 3), theta=np.float64(0.7853981633974484), beta=0.0)
232: Gate(gate_type='phase', qubits=(3,), theta=np.float64(-1.5707963267948966), beta=0.0)
233: Gate(gate_type='phase', qubits=(11,), theta=np.float64(1.5707963267948966), beta=0.0)
234: Gate(gate_type='xx_plus_yy', qubits=(12, 11), theta=np.float64(0.7853981633974484), beta=0.0)
235: Gate(gate_type='phase', qubits=(11,), theta=np.float64(-1.5707963267948966), beta=0.0)
236: Gate(gate_type='phase', qubits=(2,), theta=np.float64(-1.5707963267948966), beta=0.0)
237: Gate(gate_type='xx_plus_yy', qubits=(3, 2), theta=np.float64(1.5707963267948966), beta=0.0)
238: Gate(gate_type='phase', qubits=(2,), theta=np.float64(1.5707963267948966), beta=0.0)
239: Gate(gate_type='phase', qubits=(10,), theta=np.float64(-1.5707963267948966), beta=0.0)
240: Gate(gate_type='xx_plus_yy', qubits=(11, 10), theta=np.float64(1.5707963267948966), beta=0.0)
241: Gate(gate_type='phase', qubits=(10,), theta=np.float64(1.5707963267948966), beta=0.0)
242: Gate(gate_type='phase', qubits=(1,), theta=np.float64(-1.5707963267948966), beta=0.0)
243: Gate(gate_type='xx_plus_yy', qubits=(2, 1), theta=np.float64(1.5707963267948966), beta=0.0)
244: Gate(gate_type='phase', qubits=(1,), theta=np.float64(1.5707963267948966), beta=0.0)
245: Gate(gate_type='phase', qubits=(9,), theta=np.float64(-1.5707963267948966), beta=0.0)
246: Gate(gate_type='xx_plus_yy', qubits=(10, 9), theta=np.float64(1.5707963267948966), beta=0.0)
247: Gate(gate_type='phase', qubits=(9,), theta=np.float64(1.5707963267948966), beta=0.0)
248: Gate(gate_type='phase', qubits=(0,), theta=np.float64(-1.5707963267948966), beta=0.0)
249: Gate(gate_type='xx_plus_yy', qubits=(1, 0), theta=np.float64(0.17806698357934772), beta=0.0)
250: Gate(gate_type='phase', qubits=(0,), theta=np.float64(1.5707963267948966), beta=0.0)
251: Gate(gate_type='phase', qubits=(8,), theta=np.float64(-1.5707963267948966), beta=0.0)
252: Gate(gate_type='xx_plus_yy', qubits=(9, 8), theta=np.float64(0.17806698357934772), beta=0.0)
253: Gate(gate_type='phase', qubits=(8,), theta=np.float64(1.5707963267948966), beta=0.0)
254: Gate(gate_type='phase', qubits=(7,), theta=np.float64(1.5707963267948966), beta=0.0)
255: Gate(gate_type='xx_plus_yy', qubits=(6, 7), theta=np.float64(0.05066356530433126), beta=0.0)
256: Gate(gate_type='phase', qubits=(7,), theta=np.float64(-1.5707963267948966), beta=0.0)
